seed,seat,opponent,arm,actions_sha256,episode_semantic_sha256
1501,0,livestock_fertilizer,baseline,3017281514ff737cf144bdfe9cf4c46c7fb89d876874ea986515f36c42c8f9e7,c92a2bd40436dbde9850fd4747e6e1f0518c4451f0408ed4b3fe44ac8da82ff9
1501,0,livestock_fertilizer,feed,ded1d20f25883a0ed97081a62ea4d8d55968f71021c882c3a008869cebfa0e8a,fa2fd7da133d7f103ec8998b00a9593bbb8312e09b2a1d29dd9cb08610f06763
1501,0,livestock_fertilizer,joint,b4f1cacdd9ba75bce02a2507eb0a5d466866f462c2bae47260ce4ea5f0cf4553,1246670e50e7112b01e8860367e4dc90a87a99d364c156d91d112edfd0dd76ec
1501,0,melon_specialist,baseline,fc70f8e5a2e29a635db705206cf0199ddbac7d499751cbfefc601e1af85cd3db,f5771feb3befbbab65583d8e61fafb9b5a686aac737b28af1876e3363c7a2f01
1501,0,melon_specialist,feed,df482ebd2bcb342a4c9ff332964afc303e20e8e024ca3884a288731ca358c11a,b44de8fb06d9fa5550c2fecafd10a86bf8688bf15e617bf1d8c0a9f77fa849b7
1501,0,melon_specialist,joint,da30e6703f3746869caf3d3a6afd21c93644b630d62fe84f51d513cea1491c2b,f5b4cb6f3d4d441544d2f02b6fc9c37500cca5f44fef83abf8900d9e7931bc6d
1501,1,livestock_fertilizer,baseline,3017281514ff737cf144bdfe9cf4c46c7fb89d876874ea986515f36c42c8f9e7,517076907361d326a4768ce37348052a975cabcbde81fd303083c51a58501c5d
1501,1,livestock_fertilizer,feed,ded1d20f25883a0ed97081a62ea4d8d55968f71021c882c3a008869cebfa0e8a,c9ff1185c1558797cbf4e2b9c25faae0eeacbe3aedfd3445bc8f2073774ff40b
1501,1,livestock_fertilizer,joint,b4f1cacdd9ba75bce02a2507eb0a5d466866f462c2bae47260ce4ea5f0cf4553,39bf65a8cdf1800ed92d6272d18414d26c73258fa8600585d0d735fba2e1ca73
1501,1,melon_specialist,baseline,fc70f8e5a2e29a635db705206cf0199ddbac7d499751cbfefc601e1af85cd3db,87f645bb7546b4d4b6c27a867f0f4bdd2cfc32db8e834f189520d68a8c06a90d
1501,1,melon_specialist,feed,df482ebd2bcb342a4c9ff332964afc303e20e8e024ca3884a288731ca358c11a,15bc21358b513f461d1027650bb969fe2b8244bb39db92b6f72cac240fe4f24b
1501,1,melon_specialist,joint,da30e6703f3746869caf3d3a6afd21c93644b630d62fe84f51d513cea1491c2b,37c298507c7e376c4ba61f890bde81d66f4f010511dc852fb3bd40b32bf737e0
1502,0,livestock_fertilizer,baseline,1f2a81d91cd2d57945498306d6af5ec3441e573065dd60dba4d4680835b0e407,335ad82817b1b620be9bc9c5975b1806d9f0967545ec04afdf3aa1dd2603bebe
1502,0,livestock_fertilizer,feed,008195c7bca002d590132bbaeec31edd9be24b2c7b512481c8b2c44c635c66bb,32944d0397f3f947bd1113ca3fd0d8d582f37b25a7da05945871777321ad5190
1502,0,livestock_fertilizer,joint,b1e109d085ad13748e50d699b783cad7ab14e98dc67cc9fb9096400a5ab5f495,8ba63166c2fa0b6fd416fc8b59364b0a61dcd97ee699cff9cbaab23e2ae4562c
1502,0,melon_specialist,baseline,0a33394bdc782f18935991d7b3c0cedb27076aced12f5c01f8d94c0b917afc60,08adc2cb73a8838be3f78c18457010234b6f27e5c0553e59e252342e95711bf5
